id,nr_playlist,composer,composition,voices,experiment,performer,Album,year_recording,,audio_final,symbolic_is_audio,instrumentation,instrumentation_category,final_safe,not repeated,repetitions,comments,symbolic,audio,mf0,basicpitch,multipitch_214c,multipitch_195f,MT3
59,83,Dufay,0083 Duf1002e Missa Ave regina celorum - Agnus,4,CANTO_JRP,"Guillaume Dufay, Diabolus in Musica, Antoine Guerber",,2021,,46,y,v,vocal,y,y,,musicxml heeft lege staves,0083 Duf1002e Missa Ave regina celorum - Agnus.musicxml,0083 Duf1002e Missa Ave regina celorum - Agnus.wav,0083 Duf1002e Missa Ave regina celorum - Agnus.csv,0083 Duf1002e Missa Ave regina celorum - Agnus.csv,0083 Duf1002e Missa Ave regina celorum - Agnus.csv,0083 Duf1002e Missa Ave regina celorum - Agnus.csv,
60,84,Dufay,0084 Duf1003a Missa Ecce ancilla domini - Kyrie,4,CANTO_JRP,"Guillaume Dufay, Schola Cantorum Stuttgart, Clytus Gottwald",,2011,,48,y,v,vocal,y,y,,"oude opname, veel vibrato",0084 Duf1003a Missa Ecce ancilla domini - Kyrie.musicxml,0084 Duf1003a Missa Ecce ancilla domini - Kyrie.wav,0084 Duf1003a Missa Ecce ancilla domini - Kyrie.csv,0084 Duf1003a Missa Ecce ancilla domini - Kyrie.csv,0084 Duf1003a Missa Ecce ancilla domini - Kyrie.csv,0084 Duf1003a Missa Ecce ancilla domini - Kyrie.csv,
61,85,Dufay,0085 Duf1003b Missa Ecce ancilla domini - Gloria,4,CANTO_JRP,"Guillaume Dufay, Schola Cantorum Stuttgart, Clytus Gottwald",,2011,,48,y,v,vocal,y,y,,"oude opname, veel vibrato",0085 Duf1003b Missa Ecce ancilla domini - Gloria.musicxml,0085 Duf1003b Missa Ecce ancilla domini - Gloria.wav,0085 Duf1003b Missa Ecce ancilla domini - Gloria.csv,0085 Duf1003b Missa Ecce ancilla domini - Gloria.csv,0085 Duf1003b Missa Ecce ancilla domini - Gloria.csv,0085 Duf1003b Missa Ecce ancilla domini - Gloria.csv,
62,86,Dufay,0086 Duf1003c Missa Ecce ancilla domini - Credo,4,CANTO_JRP,"Guillaume Dufay, Schola Cantorum Stuttgart, Clytus Gottwald",,2011,,48,y,v,vocal,y,y,,"oude opname, veel vibrato",0086 Duf1003c Missa Ecce ancilla domini - Credo.musicxml,0086 Duf1003c Missa Ecce ancilla domini - Credo.wav,0086 Duf1003c Missa Ecce ancilla domini - Credo.csv,0086 Duf1003c Missa Ecce ancilla domini - Credo.csv,0086 Duf1003c Missa Ecce ancilla domini - Credo.csv,0086 Duf1003c Missa Ecce ancilla domini - Credo.csv,
63,87,Dufay,0087 Duf1003d Missa Ecce ancilla domini - Sanctus,4,CANTO_JRP,"Guillaume Dufay, Schola Cantorum Stuttgart, Clytus Gottwald",,2011,,48,y,v,vocal,y,y,,"oude opname, veel vibrato",0087 Duf1003d Missa Ecce ancilla domini - Sanctus.musicxml,0087 Duf1003d Missa Ecce ancilla domini - Sanctus.wav,0087 Duf1003d Missa Ecce ancilla domini - Sanctus.csv,0087 Duf1003d Missa Ecce ancilla domini - Sanctus.csv,0087 Duf1003d Missa Ecce ancilla domini - Sanctus.csv,0087 Duf1003d Missa Ecce ancilla domini - Sanctus.csv,
64,88,Dufay,0088 Duf1003e Missa Ecce ancilla domini - Agnus,4,CANTO_JRP,"Guillaume Dufay, Schola Cantorum Stuttgart, Clytus Gottwald",,2011,,48,y,v,vocal,y,y,,"oude opname, veel vibrato",0088 Duf1003e Missa Ecce ancilla domini - Agnus.musicxml,0088 Duf1003e Missa Ecce ancilla domini - Agnus.wav,0088 Duf1003e Missa Ecce ancilla domini - Agnus.csv,0088 Duf1003e Missa Ecce ancilla domini - Agnus.csv,0088 Duf1003e Missa Ecce ancilla domini - Agnus.csv,0088 Duf1003e Missa Ecce ancilla domini - Agnus.csv,
65,89,Dufay,0089 Duf1004a Missa Lhomme arme - Kyrie,4,CANTO_JRP,"Guillaume Dufay, The Hilliard Ensemble, Paul Hillier",,1987,,53,y,v,vocal,y,y,,,0089 Duf1004a Missa Lhomme arme - Kyrie.musicxml,0089 Duf1004a Missa Lhomme arme - Kyrie.wav,0089 Duf1004a Missa Lhomme arme - Kyrie.csv,0089 Duf1004a Missa Lhomme arme - Kyrie.csv,0089 Duf1004a Missa Lhomme arme - Kyrie.csv,0089 Duf1004a Missa Lhomme arme - Kyrie.csv,
66,90,Dufay,0090 Duf1004b Missa Lhomme arme - Gloria,4,CANTO_JRP,"Guillaume Dufay, Paul Hillier, The Hilliard Ensemble",,1987,,53,y,v,vocal,y,y,,,0090 Duf1004b Missa Lhomme arme - Gloria.musicxml,0090 Duf1004b Missa Lhomme arme - Gloria.wav,0090 Duf1004b Missa Lhomme arme - Gloria.csv,0090 Duf1004b Missa Lhomme arme - Gloria.csv,0090 Duf1004b Missa Lhomme arme - Gloria.csv,0090 Duf1004b Missa Lhomme arme - Gloria.csv,
67,91,Dufay,0091 Duf1004c Missa Lhomme arme - Credo,4,CANTO_JRP,"Guillaume Dufay, The Hilliard Ensemble, Paul Hillier",,1987,,53,y,v,vocal,y,y,,,0091 Duf1004c Missa Lhomme arme - Credo.musicxml,0091 Duf1004c Missa Lhomme arme - Credo.wav,0091 Duf1004c Missa Lhomme arme - Credo.csv,0091 Duf1004c Missa Lhomme arme - Credo.csv,0091 Duf1004c Missa Lhomme arme - Credo.csv,0091 Duf1004c Missa Lhomme arme - Credo.csv,
68,92,Dufay,0092 Duf1004d Missa Lhomme arme - Sanctus,4,CANTO_JRP,"Guillaume Dufay, The Hilliard Ensemble, Paul Hillier",,1987,,53,y,v,vocal,y,y,,,0092 Duf1004d Missa Lhomme arme - Sanctus.musicxml,0092 Duf1004d Missa Lhomme arme - Sanctus.wav,0092 Duf1004d Missa Lhomme arme - Sanctus.csv,0092 Duf1004d Missa Lhomme arme - Sanctus.csv,0092 Duf1004d Missa Lhomme arme - Sanctus.csv,0092 Duf1004d Missa Lhomme arme - Sanctus.csv,
